pubchem_cid	pubchem_cid_parent	canonical_smiles	canonical_smiles_parent
119	119	C(CC(=O)O)CN	C(CC(=O)O)CN
137	137	C(CC(=O)O)C(=O)CN	C(CC(=O)O)C(=O)CN
143	143	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
174	174	C(CO)O	C(CO)O
175	176	CC(=O)[O-]	CC(=O)O
187	187	CC(=O)OCC[N+](C)(C)C	CC(=O)OCC[N+](C)(C)C
206	206	C(C1C(C(C(C(O1)O)O)O)O)O	C(C1C(C(C(C(O1)O)O)O)O)O
247	248	C[N+](C)(C)CC(=O)[O-]	C[N+](C)(C)CC(=O)O
271	271	[Ca+2]	[Ca+2]
280	280	C(=O)=O	C(=O)=O
312	312	[Cl-]	[Cl-]
338	338	C1=CC=C(C(=C1)C(=O)O)O	C1=CC=C(C(=C1)C(=O)O)O
402	402	S	S
444	444	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
564	564	C(CCC(=O)O)CCN	C(CCC(=O)O)CCN
598	598	C(CS(=O)(=O)O)S	C(CS(=O)(=O)O)S
612	612	CC(C(=O)O)O	CC(C(=O)O)O
679	679	CS(=O)C	CS(=O)C
681	681	C1=CC(=C(C=C1CCN)O)O	C1=CC(=C(C=C1CCN)O)O
702	702	CCO	CCO
727	727	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
750	750	C(C(=O)O)N	C(C(=O)O)N
753	753	C(C(CO)O)O	C(C(CO)O)O
