pubchem_cid	concept_id	concept_name	total_labels	n_labels_ind	percent_labels_ind	occurs_min_ind	occurs_max_ind	occurs_mean_ind	occurs_mode_ind	occurs_sd_ind	occurs_iqr_ind	n_labels_se	percent_labels_se	occurs_min_se	occurs_max_se	occurs_mean_se	occurs_mode_se	occurs_sd_se	occurs_iqr_se	n_label_ratio	percent_label_ratio	concept_n_ind	concept_n_se	compound_n_ind	compound_n_se	prob_ind	prob_se	category_manual
137	C0022593	keratosis	7	6	0.857142857142857	1	1	1	1	0	0	6	0.857142857142857	1	1	1	1	0	0	1	1	9	12	2	31	0.910783861067022	0.089216138932978	
137	C0022602	actinic keratoses	7	6	0.857142857142857	1	1	1	1	0	0	6	0.857142857142857	1	1	1	1	0	0	1	1	7	5	2	31	0.91107842971855	0.0889215702814503	
143	C0006826	cancer	3	1	0.333333333333333	1	1	1	1		0	1	0.333333333333333	1	1	1	1		0	1	1	120	153	6	29	0.888036664427713	0.111963335572287	
206	C0003811	arrhythmia	38	1	0.0263157894736842	2	2	2	2		0	2	0.0526315789473684	2	2	2	2	0	0	0.5	0.5	27	337	32	56	0.814828587499084	0.185171412500916	
206	C0011175	dehydration	38	1	0.0263157894736842	1	1	1	1		0	5	0.131578947368421	1	1	1	1	0	0	0.2	0.2	4	175	32	56	0.686924392122753	0.313075607877247	
206	C0012797	diuresis	38	1	0.0263157894736842	1	1	1	1		0	2	0.0526315789473684	1	1	1	1	0	0	0.5	0.5	22	29	32	56	0.779052601483554	0.220947398516446	
206	C0013604	edema	38	1	0.0263157894736842	1	1	1	1		0	1	0.0263157894736842	1	1	1	1		0	1	1	32	646	32	56	0.53564470646861	0.46435529353139	
206	C0019080	hemorrhage	38	1	0.0263157894736842	1	1	1	1		0	1	0.0263157894736842	1	1	1	1		0	1	1	44	443	32	56	0.638569245343322	0.361430754656678	
206	C0020456	hyperglycemia	38	5	0.131578947368421	1	1	1	1	0	0	3	0.0789473684210526	1	1	1	1	0	0	1.66666666666667	1.66666666666667	14	253	32	56	0.735881364074654	0.264118635925346	
206	C0020615	hypoglycemia	38	8	0.210526315789474	1	1	1	1	0	0	1	0.0263157894736842	1	1	1	1		0	8	8	8	165	32	56	0.828796362271496	0.171203637728504	
206	C0041582	ulcer	38	1	0.0263157894736842	1	1	1	1		0	1	0.0263157894736842	1	1	1	1		0	1	1	56	313	32	56	0.6998322253589	0.3001677746411	
206	C0522224	paralysis	38	1	0.0263157894736842	1	1	1	1		0	2	0.0526315789473684	1	1	1	1	0	0	0.5	0.5	9	129	32	56	0.741891837819224	0.258108162180776	
206	C0728899	intoxication	38	2	0.0526315789473684	1	1	1	1	0	0	2	0.0526315789473684	1	1	1	1	0	0	1	1	9	31	32	56	0.786228630437797	0.213771369562203	
247	C0019880	homocystinuria	4	4	1	1	1	1	1	0	0	4	1	1	1	1	1	0	0	1	1	2	1	1	26	0.916737520230836	0.0832624797691641	
271	C0022658	nephropathy	18	2	0.111111111111111	1	1	1	1	0	0	2	0.111111111111111	1	1	1	1	0	0	1	1	38	74	39	33	0.796365551759754	0.203634448240246	
271	C0022661	chronic renal failure	18	9	0.5	1	2	1.22222222222222	1	0.440958551844098	0	2	0.111111111111111	1	1	1	1	0	0	4.5	4.5	17	15	39	33	0.94182482286957	0.0581751771304304	
