pubchem_cid	concept_id	concept_name	total_labels	n_labels_ind	percent_labels_ind	occurs_min_ind	occurs_max_ind	occurs_mean_ind	occurs_mode_ind	occurs_sd_ind	occurs_iqr_ind	n_labels_se	percent_labels_se	occurs_min_se	occurs_max_se	occurs_mean_se	occurs_mode_se	occurs_sd_se	occurs_iqr_se	n_label_ratio	percent_label_ratio	concept_n_ind	concept_n_se	compound_n_ind	compound_n_se	prob_ind	prob_se	category_manual
137	C0022593	keratosis	7	6	0.857142857142857	1	1	1	1	0	0	6	0.857142857142857	1	1	1	1	0	0	1	1	9	12	2	31	0.917704880453334	0.082295119546666	
137	C0022602	actinic keratoses	7	6	0.857142857142857	1	1	1	1	0	0	6	0.857142857142857	1	1	1	1	0	0	1	1	7	5	2	31	0.917571376684736	0.082428623315264	
143	C0006826	cancer	3	1	0.333333333333333	1	1	1	1		0	1	0.333333333333333	1	1	1	1		0	1	1	120	153	6	29	0.913884607372902	0.0861153926270978	
206	C0003811	arrhythmia	38	1	0.0263157894736842	2	2	2	2		0	2	0.0526315789473684	2	2	2	2	0	0	0.5	0.5	27	337	32	56	0.831386762070717	0.168613237929283	
206	C0011175	dehydration	38	1	0.0263157894736842	1	1	1	1		0	5	0.131578947368421	1	1	1	1	0	0	0.2	0.2	4	175	32	56	0.742577383421339	0.257422616578661	
206	C0012797	diuresis	38	1	0.0263157894736842	1	1	1	1		0	2	0.0526315789473684	1	1	1	1	0	0	0.5	0.5	22	29	32	56	0.810343876871495	0.189656123128505	
206	C0013604	edema	38	1	0.0263157894736842	1	1	1	1		0	1	0.0263157894736842	1	1	1	1		0	1	1	32	646	32	56	0.640256804653981	0.359743195346019	
206	C0019080	hemorrhage	38	1	0.0263157894736842	1	1	1	1		0	1	0.0263157894736842	1	1	1	1		0	1	1	44	443	32	56	0.719862459254323	0.280137540745677	
206	C0020456	hyperglycemia	38	5	0.131578947368421	1	1	1	1	0	0	3	0.0789473684210526	1	1	1	1	0	0	1.66666666666667	1.66666666666667	14	253	32	56	0.779468574551029	0.220531425448971	
206	C0020615	hypoglycemia	38	8	0.210526315789474	1	1	1	1	0	0	1	0.0263157894736842	1	1	1	1		0	8	8	8	165	32	56	0.84244659985598	0.15755340014402	
206	C0041582	ulcer	38	1	0.0263157894736842	1	1	1	1		0	1	0.0263157894736842	1	1	1	1		0	1	1	56	313	32	56	0.765979584963961	0.234020415036039	
206	C0522224	paralysis	38	1	0.0263157894736842	1	1	1	1		0	2	0.0526315789473684	1	1	1	1	0	0	0.5	0.5	9	129	32	56	0.780835536037075	0.219164463962925	
206	C0728899	intoxication	38	2	0.0526315789473684	1	1	1	1	0	0	2	0.0526315789473684	1	1	1	1	0	0	1	1	9	31	32	56	0.811959275631991	0.188040724368009	
247	C0019880	homocystinuria	4	4	1	1	1	1	1	0	0	4	1	1	1	1	1	0	0	1	1	2	1	1	26	0.921095920627984	0.0789040793720156	
271	C0022658	nephropathy	18	2	0.111111111111111	1	1	1	1	0	0	2	0.111111111111111	1	1	1	1	0	0	1	1	38	74	39	33	0.827537428279941	0.172462571720059	
271	C0022661	chronic renal failure	18	9	0.5	1	2	1.22222222222222	1	0.440958551844098	0	2	0.111111111111111	1	1	1	1	0	0	4.5	4.5	17	15	39	33	0.939729780499228	0.0602702195007716	
271	C0033774	pruritus	18	3	0.166666666666667	1	1	1	1	0	0	8	0.444444444444444	1	1	1	1	0	0	0.375	0.375	36	701	39	33	0.564682910045962	0.435317089954038	
312	C0019080	hemorrhage	2	1	0.5	1	1	1	1		0	1	0.5	1	1	1	1		0	1	1	44	443	27	14	0.823366649477187	0.176633350522813	
312	C0041582	ulcer	2	1	0.5	1	1	1	1		0	1	0.5	1	1	1	1		0	1	1	56	313	27	14	0.856569275197282	0.143430724802718	
338	C0011991	diarrhea	38	2	0.0526315789473684	1	1	1	1	0	0	1	0.0263157894736842	1	1	1	1		0	2	2	23	714	35	40	0.622478733425045	0.377521266574955	
338	C0013395	dyspepsia	38	2	0.0526315789473684	1	1	1	1	0	0	1	0.0263157894736842	1	1	1	1		0	2	2	9	448	35	40	0.708293961876911	0.291706038123089	
338	C0018834	heartburn	38	2	0.0526315789473684	1	1	1	1	0	0	1	0.0263157894736842	1	1	1	1		0	2	2	14	64	35	40	0.815171878729925	0.184828121270075	
338	C0027497	nausea	38	2	0.0526315789473684	1	1	1	1	0	0	1	0.0263157894736842	1	1	1	1		0	2	2	48	885	35	40	0.57659922652062	0.42340077347938	
338	C0030193	pain	38	1	0.0263157894736842	1	1	1	1		0	1	0.0263157894736842	1	1	1	1		0	1	1	106	785	35	40	0.645421631287696	0.354578368712304	
338	C0043037	warts	38	10	0.263157894736842	1	2	1.1	1	0.316227766016838	0	1	0.0263157894736842	1	1	1	1		0	10	10	3	16	35	40	0.917106321830318	0.0828936781696821	
338	C0235309	stomach discomfort	38	2	0.0526315789473684	1	1	1	1	0	0	1	0.0263157894736842	1	1	1	1		0	2	2	6	50	35	40	0.814250848300633	0.185749151699367	
338	C0237849	desquamation	38	5	0.131578947368421	1	1	1	1	0	0	15	0.394736842105263	1	1	1	1	0	0	0.333333333333333	0.333333333333333	13	87	35	40	0.727136174733909	0.272863825266091	
338	C0700361	upset	38	2	0.0526315789473684	1	1	1	1	0	0	1	0.0263157894736842	1	1	1	1		0	2	2	6	36	35	40	0.817104760743276	0.182895239256724	side_effect
444	C0004936	Psychiatric Disorders	82	13	0.158536585365854	1	1	1	1	0	0	11	0.134146341463415	1	1	1	1	0	0	1.18181818181818	1.18181818181818	20	192	25	484	0.448584164657559	0.551415835342441	
444	C0011581	depressive disorder	82	69	0.841463414634146	1	3	1.26086956521739	1	0.504455848736843	0	15	0.182926829268293	1	2	1.13333333333333	1	0.351865775274498	0	4.6	4.6	24	19	25	484	0.851605606474205	0.148394393525795	
444	C0015672	fatigue	82	46	0.560975609756098	1	1	1	1	0	0	17	0.207317073170732	1	1	1	1	0	0	2.70588235294118	2.70588235294118	20	478	25	484	0.529333420215435	0.470666579784565	
444	C0036572	seizures	82	22	0.268292682926829	1	1	1	1	0	0	33	0.402439024390244	1	2	1.39393939393939	1	0.496197663448873	1	0.666666666666667	0.666666666666667	36	243	25	484	0.149066209188615	0.850933790811385	
444	C0038661	suicide	82	46	0.560975609756098	1	1	1	1	0	0	52	0.634146341463415	1	2	1.03846153846154	1	0.194183909345154	0	0.884615384615385	0.884615384615385	15	77	25	484	0.337564851977917	0.662435148022083	
444	C0038663	suicide attempt	82	45	0.548780487804878	1	1	1	1	0	0	51	0.621951219512195	1	1	1	1	0	0	0.882352941176471	0.882352941176471	13	52	25	484	0.430186883344875	0.569813116655125	
444	C0085159	Seasonal Affective Disorder	82	11	0.134146341463415	3	3	3	3	0	0	10	0.121951219512195	1	2	1.2	1	0.421637021355784	0	1.1	1.1	1	1	25	484	0.737861512086848	0.262138487913152	
444	C0085631	agitation	82	66	0.804878048780488	1	2	1.96969696969697	2	0.172733406835012	0	65	0.792682926829268	2	6	2.75384615384615	3	0.750640751932333	1	1.01538461538462	1.01538461538462	31	328	25	484	0.446977859953329	0.553022140046671	
444	C0221423	sickness	82	3	0.0365853658536585	1	1	1	1	0	0	64	0.780487804878049	1	2	1.03125	1	0.17536809360305	0	0.046875	0.046875	50	149	25	484	0.0910091396866131	0.908990860313387	
444	C0233477	dysphoria	82	20	0.24390243902439	1	1	1	1	0	0	59	0.719512195121951	1	1	1	1	0	0	0.338983050847458	0.338983050847458	14	35	25	484	0.227640700824875	0.772359299175125	
444	C0235198	impaired concentration	82	66	0.804878048780488	1	1	1	1	0	0	11	0.134146341463415	1	1	1	1	0	0	6	6	15	63	25	484	0.783860262754185	0.216139737245815	
444	C0344315	depressed mood	82	46	0.560975609756098	1	1	1	1	0	0	2	0.024390243902439	1	1	1	1	0	0	23	23	16	22	25	484	0.795279373225236	0.204720626774764	
444	C0424000	suicidal ideation	82	64	0.780487804878049	1	1	1	1	0	0	60	0.731707317073171	1	1	1	1	0	0	1.06666666666667	1.06666666666667	14	48	25	484	0.509124630930158	0.490875369069842	
444	C0525045	mood disorders	82	11	0.134146341463415	2	2	2	2	0	0	8	0.0975609756097561	1	1	1	1	0	0	1.375	1.375	6	11	25	484	0.706157144059136	0.293842855940864	
444	C0917799	hypersomnia	82	46	0.560975609756098	1	1	1	1	0	0	2	0.024390243902439	1	1	1	1	0	0	23	23	14	23	25	484	0.794608278097414	0.205391721902586	
444	C0917801	insomnia	82	46	0.560975609756098	1	1	1	1	0	0	66	0.804878048780488	1	2	1.77272727272727	2	0.422281515486622	0	0.696969696969697	0.696969696969697	28	523	25	484	0.136315790964531	0.863684209035469	
444	C1269683	major depressive disorder	82	72	0.878048780487805	1	3	2.23611111111111	2	0.59322597541154	1	15	0.182926829268293	1	4	1.4	1	1.0555973258235	0	4.8	4.8	19	15	25	484	0.876870774363159	0.123129225636841	
564	C0040034	thrombocytopenia	8	4	0.5	1	1	1	1	0	0	8	1	1	1	1	1	0	0	0.5	0.5	21	466	16	52	0.719256101802332	0.280743898197668	
612	C0020757	skin changes	12	10	0.833333333333333	1	1	1	1	0	0	10	0.833333333333333	1	1	1	1	0	0	1	1	3	22	7	13	0.908440209310214	0.0915597906897861	
612	C0033774	pruritus	12	7	0.583333333333333	1	2	1.28571428571429	1	0.487950036474267	0.5	5	0.416666666666667	1	1	1	1	0	0	1.4	1.4	36	701	7	13	0.910177494181541	0.0898225058184592	
612	C0079584	ichthyosis vulgaris	12	10	0.833333333333333	1	1	1	1	0	0	5	0.416666666666667	1	1	1	1	0	0	2	2	1	1	7	13	0.93844596353219	0.06155403646781	
612	C0151908	dry skin	12	2	0.166666666666667	1	1	1	1	0	0	5	0.416666666666667	1	1	1	1	0	0	0.4	0.4	2	177	7	13	0.83506342415315	0.16493657584685	
612	C0259817	xerosis	12	12	1	1	1	1	1	0	0	9	0.75	1	1	1	1	0	0	1.33333333333333	1.33333333333333	2	5	7	13	0.930307937785531	0.0696920622144689	indication
679	C0010692	cystitis	1	1	1	1	1	1	1		0	1	1	1	1	1	1		0	1	1	25	133	4	3	0.920247706416386	0.0797522935836145	
681	C0020649	hypotension	7	7	1	2	2	2	2	0	0	7	1	1	1	1	1	0	0	1	1	31	522	17	26	0.912389961836776	0.0876100381632243	
702	C0030193	pain	3	2	0.666666666666667	1	1	1	1	0	0	2	0.666666666666667	1	1	1	1	0	0	1	1	106	785	19	13	0.805892359351429	0.194107640648571	
702	C0522224	paralysis	3	2	0.666666666666667	1	1	1	1	0	0	2	0.666666666666667	2	2	2	2	0	0	1	1	9	129	19	13	0.845826042693085	0.154173957306915	
772	C0001792	geriatric	16	3	0.1875	1	1	1	1	0	0	2	0.125	1	2	1.5	2	0.707106781186548	0.5	1.5	1.5	65	25	24	121	0.690563602809893	0.309436397190107	
772	C0002962	angina	16	13	0.8125	1	2	1.46153846153846	1	0.518874521662771	1	14	0.875	1	2	1.64285714285714	2	0.497245158098847	1	0.928571428571429	0.928571428571429	32	238	24	121	0.874684901698925	0.125315098301075	
772	C0002965	unstable angina	16	13	0.8125	1	2	1.46153846153846	1	0.518874521662771	1	14	0.875	1	2	1.64285714285714	2	0.497245158098847	1	0.928571428571429	0.928571428571429	13	23	24	121	0.892442603947719	0.107557396052281	
772	C0013922	embolism	16	15	0.9375	1	1	1	1	0	0	14	0.875	1	2	1.5	2	0.518874521662771	1	1.07142857142857	1.07142857142857	14	113	24	121	0.686519954259101	0.313480045740899	
772	C0018801	heart failure	16	4	0.25	2	2	2	2	0	0	10	0.625	1	1	1	1	0	0	0.4	0.4	53	270	24	121	0.857263986859445	0.142736013140555	
772	C0021308	infarction	16	13	0.8125	1	2	1.69230769230769	2	0.480384461415261	1	14	0.875	2	3	2.07142857142857	2	0.267261241912424	0	0.928571428571429	0.928571428571429	56	276	24	121	0.910864646118225	0.0891353538817751	
772	C0027051	myocardial infarction	16	13	0.8125	1	2	1.69230769230769	2	0.480384461415261	1	14	0.875	1	2	1.85714285714286	2	0.363136519601281	0	0.928571428571429	0.928571428571429	51	256	24	121	0.924338165777197	0.0756618342228035	
772	C0034065	pulmonary embolism	16	15	0.9375	1	1	1	1	0	0	14	0.875	1	2	1.5	2	0.518874521662771	1	1.07142857142857	1.07142857142857	11	127	24	121	0.677949638096267	0.322050361903733	
772	C0036974	shock	16	4	0.25	1	1	1	1	0	0	1	0.0625	1	1	1	1		0	4	4	18	228	24	121	0.829517267432722	0.170482732567278	
772	C0040053	thrombosis	16	15	0.9375	1	2	1.46666666666667	1	0.516397779494322	1	15	0.9375	1	2	1.93333333333333	2	0.258198889747161	0	1	1	18	162	24	121	0.911106404496109	0.0888935955038908	
772	C0042487	venous thrombosis	16	15	0.9375	1	2	1.46666666666667	1	0.516397779494322	1	14	0.875	1	2	1.78571428571429	2	0.42581531362632	0	1.07142857142857	1.07142857142857	10	88	24	121	0.913140263993399	0.0868597360066006	
772	C0149871	deep vein thrombosis	16	15	0.9375	1	3	2.2	3	0.861891607371335	1.5	14	0.875	2	3	2.5	3	0.518874521662771	1	1.07142857142857	1.07142857142857	9	61	24	121	0.934438398706829	0.0655616012931712	
772	C0198482	abdominal surgery	16	8	0.5	1	1	1	1	0	0	15	0.9375	1	3	1.53333333333333	1	0.639940473422184	1	0.533333333333333	0.533333333333333	5	5	24	121	0.408314095947058	0.591685904052942	
772	C0221423	sickness	16	9	0.5625	1	1	1	1	0	0	14	0.875	1	2	1.78571428571429	2	0.42581531362632	0	0.642857142857143	0.642857142857143	50	149	24	121	0.648496543542406	0.351503456457594	
772	C1306577	death	16	7	0.4375	1	1	1	1	0	0	2	0.125	1	2	1.5	2	0.707106781186548	0.5	3.5	3.5	68	246	24	121	0.704647723839146	0.295352276160854	
772	C1536220	STEMI	16	9	0.5625	1	1	1	1	0	0	1	0.0625	1	1	1	1		0	9	9	4	2	24	121	0.909644601652457	0.090355398347543	
774	C0020517	hypersensitivity	1	1	1	1	1	1	1		0	1	1	1	1	1	1		0	1	1	53	668	4	18	0.854782709649404	0.145217290350596	
807	C0020550	hyperthyroidism	7	1	0.142857142857143	1	1	1	1		0	1	0.142857142857143	1	1	1	1		0	1	1	7	35	4	181	0.84720691670184	0.15279308329816	
888	C0013537	eclampsia	11	8	0.727272727272727	1	1	1	1	0	0	7	0.636363636363636	1	1	1	1	0	0	1.14285714285714	1.14285714285714	7	4	14	16	0.909526623391376	0.0904733766086238	
888	C0020598	hypocalcemia	11	6	0.545454545454545	1	1	1	1	0	0	7	0.636363636363636	1	1	1	1	0	0	0.857142857142857	0.857142857142857	6	91	14	16	0.876219443828297	0.123780556171703	
888	C0039621	tetany	11	6	0.545454545454545	1	2	1.33333333333333	1	0.516397779494322	0.75	7	0.636363636363636	1	1	1	1	0	0	0.857142857142857	0.857142857142857	3	20	14	16	0.943579379669421	0.0564206203305792	
937	C0015663	fasting	14	7	0.5	1	1	1	1	0	0	12	0.857142857142857	1	1	1	1	0	0	0.583333333333333	0.583333333333333	8	34	25	143	0.766798834577658	0.233201165422342	
937	C0030193	pain	14	7	0.5	1	1	1	1	0	0	10	0.714285714285714	1	2	1.3	1	0.483045891539648	0.75	0.7	0.7	106	785	25	143	0.402183734439016	0.597816265560984	
937	C0042373	vascular disease	14	14	1	1	1	1	1	0	0	3	0.214285714285714	1	1	1	1	0	0	4.66666666666667	4.66666666666667	29	201	25	143	0.920252417701203	0.079747582298797	
1130	C0027497	nausea	1	1	1	1	1	1	1		0	1	1	1	1	1	1		0	1	1	48	885	12	20	0.783066994858147	0.216933005141853	
1130	C0344329	collapse	1	1	1	1	1	1	1		0	1	1	1	1	1	1		0	1	1	4	77	12	20	0.906078763507578	0.0939212364924225	
1978	C0002962	angina	13	8	0.615384615384615	2	4	2.75	2	1.03509833901353	2	13	1	2	4	2.76923076923077	2	1.01273936708367	2	0.615384615384615	0.615384615384615	32	238	8	116	0.871779718057722	0.128220281942278	
1978	C0003811	arrhythmia	13	5	0.384615384615385	1	1	1	1	0	0	13	1	1	2	1.38461538461538	1	0.506369683541833	1	0.384615384615385	0.384615384615385	27	337	8	116	0.425410844245594	0.574589155754406	
1978	C0020538	hypertension	13	13	1	1	2	1.61538461538462	2	0.506369683541833	1	13	1	1	2	1.38461538461538	1	0.506369683541833	1	1	1	114	469	8	116	0.922003547567028	0.0779964524329718	
1978	C0857121	hypertensive	13	8	0.615384615384615	1	1	1	1	0	0	5	0.384615384615385	1	1	1	1	0	0	1.6	1.6	19	69	8	116	0.902211219926171	0.0977887800738288	
1983	C0015967	fever	8	8	1	1	1	1	1	0	0	1	0.125	3	3	3	3		0	8	8	66	593	14	56	0.808727221868525	0.191272778131475	
1983	C0018681	headache	8	7	0.875	1	1	1	1	0	0	1	0.125	2	2	2	2		0	7	7	34	818	14	56	0.811641432420004	0.188358567579996	
1983	C0030193	pain	8	8	1	1	2	1.375	1	0.517549169506766	1	1	0.125	1	1	1	1		0	8	8	106	785	14	56	0.944151051460475	0.0558489485395248	
2019	C0000737	abdominal pain	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	10	564	46	66	0.485354580083353	0.514645419916647	
2019	C0001824	agranulocytosis	4	1	0.25	1	1	1	1		0	3	0.75	1	1	1	1	0	0	0.333333333333333	0.333333333333333	17	244	46	66	0.670332421854897	0.329667578145103	
2019	C0002871	anemia	4	1	0.25	1	1	1	1		0	3	0.75	1	2	1.33333333333333	1	0.577350269189626	0.5	0.333333333333333	0.333333333333333	33	502	46	66	0.329000120952249	0.670999879047751	side_effect
2019	C0002874	aplastic anemia	4	1	0.25	1	1	1	1		0	3	0.75	1	1	1	1	0	0	0.333333333333333	0.333333333333333	5	133	46	66	0.696607571185929	0.303392428814071	
2019	C0003123	anorexia	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	10	470	46	66	0.522415931477401	0.477584068522599	
2019	C0003962	ascites	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	5	42	46	66	0.674828077284877	0.325171922715123	
2019	C0006826	cancer	4	3	0.75	1	3	2	2	1	1	2	0.5	4	4	4	4	0	0	1.5	1.5	120	153	46	66	0.850003946538731	0.149996053461269	
2019	C0007971	cheilitis	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	1	29	46	66	0.675340885681054	0.324659114318946	
2019	C0011168	dysphagia	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	5	207	46	66	0.618409561001174	0.381590438998826	
2019	C0011991	diarrhea	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	23	714	46	66	0.441121712278244	0.558878287721756	
2019	C0014868	esophagitis	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	14	148	46	66	0.648037079363362	0.351962920636638	
2019	C0015672	fatigue	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	20	478	46	66	0.529701734633946	0.470298265366054	
2019	C0015967	fever	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	66	593	46	66	0.536370954456634	0.463629045543366	
2019	C0019158	hepatitis	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	12	297	46	66	0.591901735671684	0.408098264328316	
2019	C0019209	hepatomegaly	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	2	73	46	66	0.662060545900486	0.337939454099514	
2019	C0020598	hypocalcemia	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	6	91	46	66	0.659804549740215	0.340195450259785	
2019	C0021311	infection	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	190	539	46	66	0.69085113413434	0.30914886586566	
2019	C0023380	lethargy	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	1	145	46	66	0.636678367827951	0.363321632172049	
2019	C0023530	leukopenia	4	1	0.25	1	1	1	1		0	3	0.75	1	1	1	1	0	0	0.333333333333333	0.333333333333333	4	400	46	66	0.600814216238837	0.399185783761163	
2019	C0027438	nasopharynx	4	1	0.25	1	1	1	1		0	2	0.5	1	1	1	1	0	0	0.5	0.5	15	4	46	66	0.784301593358376	0.215698406641624	
2019	C0027497	nausea	4	1	0.25	2	2	2	2		0	4	1	2	2	2	2	0	0	0.25	0.25	48	885	46	66	0.632292157667545	0.367707842332455	
2019	C0027498	nausea and vomiting	4	1	0.25	1	1	1	1		0	4	1	2	2	2	2	0	0	0.25	0.25	23	199	46	66	0.577311598116773	0.422688401883227	
2019	C0027651	tumor	4	4	1	1	2	1.75	2	0.5	0.25	2	0.5	2	2	2	2	0	0	2	2	83	175	46	66	0.957532211551075	0.042467788448925	
2019	C0030193	pain	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	106	785	46	66	0.513460921150804	0.486539078849196	
2019	C0032285	pneumonia	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	83	288	46	66	0.667912703205946	0.332087296794054	
2019	C0033246	proctitis	4	1	0.25	1	1	1	1		0	4	1	1	1	1	1	0	0	0.25	0.25	4	23	46	66	0.679918365404418	0.320081634595582	
2019	C0034525	radiation effect	4	1	0.25	1	1	1	1		0	2	0.5	1	1	1	1	0	0	0.5	0.5	1	1	46	66	0.775674251617282	0.224325748382718	
